"filename", "language", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/chaos/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/cicd/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/cms/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/command-center/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/couples/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/customer-success/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/devex/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/disaster-recovery/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/feature-flags/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/finance/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/high-availability/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/idp/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/infrastructure/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/integrations/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/kubernetes/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/load-testing/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/localization/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/marketplace/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/moderation/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/monitoring/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/multi-region/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/notifications/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/observability/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/partners/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/performance/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/platform-networking/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/prompt-registry/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/releases/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
